t # 0
v 0 0
v 1 1
v 2 2
v 3 3
v 4 4
v 5 5
v 6 6
v 7 7
v 8 8
v 9 9
v 10 10
v 11 11
v 12 12
v 13 13
v 14 14
v 15 15
v 16 16
v 17 17
v 18 18
v 19 19
v 20 20
v 21 21
v 22 22
v 23 23
v 24 24
v 25 25
v 26 26
v 27 27
v 28 28
v 29 29
v 30 30
v 31 31
v 32 32
v 33 33
v 34 34
v 35 35
v 36 36
v 37 37
v 38 38
v 39 39
v 40 40
v 41 41
v 42 42
v 43 43
v 44 44
v 45 45
v 46 46
v 47 47
v 48 48
v 49 49
v 50 50
v 51 51
v 52 52
v 53 53
v 54 54
v 55 55
v 56 56
v 57 57
v 58 58
v 59 59
v 60 60
v 61 61
v 62 62
v 63 63
v 64 64
e 0 1 0
e 0 2 1
e 0 3 2
e 2 4 3
e 2 5 4
e 4 6 5
e 4 7 6
e 5 8 7
e 5 8 8
e 5 9 9
e 5 10 10
e 6 11 11
e 6 12 12
e 6 13 13
e 6 14 14
e 6 15 15
e 6 16 16
e 17 5 17
e 18 1 18
e 18 5 19
e 8 19 20
e 8 5 21
e 8 20 22
e 21 1 23
e 21 22 24
e 21 23 25
e 22 24 26
e 22 24 27
e 22 25 28
e 22 3 29
e 22 4 30
e 22 26 31
e 24 5 32
e 24 17 33
e 24 27 34
e 24 8 35
e 27 28 36
e 9 6 37
e 9 4 38
e 28 29 39
e 30 31 40
e 30 32 41
e 30 1 42
e 30 33 43
e 33 1 44
e 33 7 45
e 7 34 46
e 23 8 47
e 23 9 48
e 35 20 49
e 35 3 50
e 35 4 51
e 35 36 52
e 35 34 53
e 3 5 54
e 3 5 55
e 3 5 56
e 3 20 57
e 3 4 58
e 36 37 59
e 38 39 60
e 38 3 61
e 38 20 62
e 40 41 63
e 40 42 64
e 40 20 65
e 42 43 66
e 42 22 67
e 44 41 68
e 43 45 69
e 46 32 70
e 46 47 71
e 47 48 72
e 49 46 73
e 50 25 74
e 50 25 75
e 51 25 76
e 51 52 77
e 51 53 78
e 52 54 79
e 52 55 80
e 53 56 81
e 55 56 82
e 57 58 83
e 57 59 84
