t # 0
v 0 0
v 1 1
v 2 2
v 3 3
v 4 4
v 5 5
v 6 6
v 7 7
v 8 8
v 9 9
v 10 10
v 11 11
v 12 12
v 13 13
v 14 14
v 15 15
v 16 16
v 17 17
v 18 18
v 19 19
v 20 20
v 21 21
v 22 22
v 23 23
v 24 24
v 25 25
v 26 26
v 27 27
v 28 28
v 29 29
v 30 30
v 31 31
v 32 32
v 33 33
v 34 34
v 35 35
v 36 36
v 37 37
v 38 38
v 39 39
v 40 40
v 41 41
v 42 42
v 43 43
v 44 44
v 45 45
v 46 46
v 47 47
v 48 48
v 49 49
v 50 50
v 51 51
v 52 52
v 53 53
v 54 54
v 55 55
v 56 56
v 57 57
v 58 58
v 59 59
v 60 60
v 61 61
v 62 62
v 63 63
v 64 64
v 65 65
v 66 66
v 67 67
v 68 68
v 69 69
v 70 70
v 71 71
v 72 72
v 73 73
v 74 74
v 75 75
v 76 76
v 77 77
v 78 78
v 79 79
v 80 80
v 81 81
v 82 82
v 83 83
v 84 84
v 85 85
v 86 86
v 87 87
v 88 88
v 89 89
v 90 90
v 91 91
v 92 92
v 93 93
v 94 94
v 95 95
v 96 96
v 97 97
v 98 98
v 99 99
v 100 100
v 101 101
v 102 102
v 103 103
v 104 104
v 105 105
v 106 106
v 107 107
v 108 108
v 109 109
v 110 110
v 111 111
v 112 112
v 113 113
v 114 114
v 115 115
v 116 116
v 117 117
v 118 118
v 119 119
v 120 120
v 121 121
v 122 122
v 123 123
v 124 124
v 125 125
v 126 126
v 127 127
v 128 128
v 129 129
v 130 130
v 131 131
v 132 132
v 133 133
v 134 134
v 135 135
v 136 136
v 137 137
v 138 138
v 139 139
v 140 140
v 141 141
v 142 142
v 143 143
v 144 144
v 145 145
v 146 146
v 147 147
v 148 148
v 149 149
v 150 150
v 151 151
v 152 152
v 153 153
v 154 154
v 155 155
v 156 156
v 157 157
v 158 158
v 159 159
v 160 160
v 161 161
v 162 162
v 163 163
v 164 164
v 165 165
v 166 166
v 167 167
v 168 168
v 169 169
v 170 170
v 171 171
v 172 172
v 173 173
v 174 174
v 175 175
v 176 176
v 177 177
v 178 178
v 179 179
v 180 180
v 181 181
v 182 182
v 183 183
v 184 184
v 185 185
v 186 186
v 187 187
v 188 188
v 189 189
v 190 190
v 191 191
v 192 192
v 193 193
v 194 194
v 195 195
v 196 196
v 197 197
v 198 198
v 199 199
v 200 200
v 201 201
v 202 202
v 203 203
v 204 204
v 205 205
v 206 206
v 207 207
v 208 208
v 209 209
v 210 210
v 211 211
v 212 212
v 213 213
v 214 214
v 215 215
v 216 216
v 217 217
v 218 218
v 219 219
v 220 220
v 221 221
v 222 222
v 223 223
v 224 224
v 225 225
v 226 226
v 227 227
v 228 228
v 229 229
v 230 230
v 231 231
v 232 232
v 233 233
v 234 234
v 235 235
v 236 236
v 237 237
v 238 238
v 239 239
e 0 1 0
e 0 2 1
e 1 3 2
e 1 3 3
e 1 3 4
e 1 4 5
e 1 5 6
e 1 6 7
e 1 7 8
e 1 8 9
e 1 9 10
e 1 10 11
e 1 11 12
e 2 12 13
e 2 13 14
e 2 4 15
e 2 14 16
e 2 1 17
e 2 15 18
e 2 16 19
e 2 17 20
e 2 18 21
e 3 7 22
e 3 19 23
e 20 1 24
e 20 12 25
e 20 15 26
e 7 21 27
e 7 22 28
e 7 23 29
e 7 24 30
e 7 25 31
e 7 26 32
e 7 27 33
e 7 28 34
e 7 29 35
e 7 30 36
e 7 31 37
e 7 32 38
e 7 33 39
e 7 34 40
e 7 35 41
e 7 36 42
e 7 37 43
e 7 38 44
e 7 39 45
e 7 40 46
e 7 41 47
e 7 42 48
e 7 43 49
e 44 45 50
e 44 46 51
e 44 47 52
e 44 48 53
e 44 49 54
e 44 20 55
e 44 1 56
e 44 50 57
e 44 51 58
e 44 52 59
e 44 44 60
e 44 53 61
e 44 54 62
e 44 55 63
e 44 56 64
e 46 1 65
e 46 57 66
e 57 2 67
e 57 52 68
e 57 58 69
e 59 1 70
e 59 12 71
e 13 3 72
e 13 12 73
e 13 12 74
e 13 60 75
e 14 61 76
e 55 62 77
e 55 63 78
e 62 16 79
e 62 64 80
e 62 65 81
e 16 66 82
e 65 67 83
e 65 68 84
e 65 69 85
e 65 70 86
e 65 71 87
e 65 72 88
e 73 16 89
e 48 16 90
e 48 74 91
e 48 74 92
e 48 74 93
e 48 75 94
e 48 76 95
e 48 2 96
e 48 2 97
e 48 77 98
e 48 78 99
e 48 79 100
e 48 80 101
e 74 7 102
e 74 16 103
e 67 16 104
e 67 3 105
e 67 81 106
e 68 82 107
e 82 83 108
e 82 84 109
e 82 85 110
e 82 86 111
e 82 87 112
e 82 88 113
e 82 89 114
e 47 7 115
e 90 47 116
e 90 64 117
e 75 1 118
e 75 3 119
e 76 2 120
e 76 5 121
e 76 91 122
e 76 92 123
e 5 93 124
e 5 94 125
e 5 95 126
e 5 96 127
e 15 12 128
e 15 12 129
e 15 7 130
e 15 97 131
e 15 3 132
e 15 67 133
e 15 10 134
e 15 98 135
e 15 99 136
e 15 4 137
